0	7
1	7
2	7
3	7
4	7
5	7
6	7
7	7
8	7
9	7
10	7
703	8
826	16
1097	6
1287	8
1591	14
1895	1
1896	24
1897	7
1898	19
1899	11
144	7
258	9
491	1
1021	10
1418	7
1669	25
1900	0
1901	10
1902	7
1903	4
121	7
127	7
128	7
179	7
247	7
249	7
264	7
353	7
424	7
426	7
145	7
176	7
177	7
753	7
754	7
762	7
2064	7
3002	7
520	24
665	7
852	24
1394	7
1786	7
1842	4
1904	7
1905	7
1906	1
1907	7
124	7
147	7
246	7
248	7
250	7
251	7
252	7
11	25
12	25
13	25
14	20
15	7
16	9
17	7
18	25
19	25
20	23
21	25
2074	25
809	20
123	7
129	7
143	7
367	7
427	7
718	7
1050	4
2254	4
2761	4
3147	22
3169	25
3619	23
3893	7
4408	25
4953	17
368	7
717	7
856	7
975	23
1908	23
1909	8
1910	25
92	3
1702	24
1711	22
1833	25
1916	20
1917	8
1918	25
1919	25
1920	0
1921	10
22	5
23	5
24	15
25	5
26	5
27	4
28	3
29	14
30	7
31	7
32	5
1022	23
901	18
960	11
1511	4
1624	0
1836	10
1911	4
1912	12
1913	2
1914	25
1915	4
846	24
1516	3
1517	3
962	9
1656	14
2201	16
126	7
174	7
637	2
870	2
1219	10
1954	10
2237	3
2524	11
2630	16
3637	25
3874	10
957	11
1028	3
1199	7
1459	4
1699	1
1700	5
1701	4
1703	5
33	19
34	19
35	19
36	7
37	19
38	4
39	19
40	19
41	11
42	19
43	14
725	25
1376	25
2002	21
2007	4
2167	4
2168	4
2169	4
2170	5
614	19
1378	10
1922	5
1923	20
1924	11
1925	14
1926	3
1927	19
1928	22
1929	7
1604	15
1679	4
1930	0
1931	24
1932	25
1933	14
1934	7
1935	14
1936	24
44	21
45	6
46	21
47	21
48	5
49	21
50	21
51	5
52	21
53	21
54	14
101	7
338	18
2366	21
2893	21
3065	21
3593	18
3840	10
3998	21
3999	2
55	10
56	24
57	25
58	10
59	10
60	14
61	10
62	18
63	8
64	18
65	25
1937	0
1938	14
1939	4
1940	16
1941	14
1942	14
1943	1
1944	14
1945	14
907	10
1992	7
1993	0
1994	10
1995	20
1996	16
1997	10
1998	10
1999	16
1064	18
1194	9
1196	18
1198	18
1959	18
1960	18
1961	18
1962	18
1963	18
1364	2
1950	24
1977	8
1978	8
1979	8
1980	8
1981	22
1982	8
1983	18
91	2
102	19
106	2
1946	18
1947	18
1948	7
1949	9
1951	18
1952	18
86	25
2003	8
2004	25
2005	1
2006	25
2008	4
2009	25
66	9
67	0
68	10
69	9
70	9
71	17
72	9
73	23
74	9
75	9
472	0
534	24
1123	3
2222	20
2789	21
3052	5
3332	8
3769	0
3956	1
152	0
219	22
346	23
965	14
1953	10
1955	16
1956	0
1957	2
1958	11
1969	22
1970	23
1971	8
1972	8
1973	25
1974	1
1975	23
1976	1
190	25
262	6
1142	9
1337	19
1964	9
1965	9
1966	9
1967	1
1968	4
76	0
77	8
78	5
79	4
80	0
81	2
82	20
83	7
84	0
85	0
898	15
1157	20
1894	18
2203	5
2204	3
2205	5
2014	5
1067	2
1984	2
1985	2
1986	20
1987	18
1988	21
1989	2
1990	21
1991	2
148	7
351	7
946	7
2000	7
2001	7
87	23
88	23
89	1
90	23
93	23
94	17
95	23
96	1
97	23
211	8
914	1
1476	10
1776	12
2010	19
2011	11
2012	1
2013	1
243	2
2194	2
2015	3
2016	24
98	25
99	25
100	25
103	11
104	4
105	20
107	25
108	25
2017	25
369	7
422	7
559	7
2018	7
2026	19
2027	8
2028	19
2025	4
363	17
820	7
1041	9
1240	20
2019	20
2020	7
2021	20
2022	2
2023	21
2024	21
324	25
365	25
1486	25
2037	7
2038	7
2039	25
2040	11
2041	25
2042	1
2043	14
109	18
110	10
111	0
112	18
113	7
114	18
115	18
116	1
117	18
118	18
119	15
1332	3
1361	1
2029	10
2030	1
2031	22
2032	7
2033	10
2034	10
2035	10
2036	5
1419	14
1561	7
1670	0
1787	21
1846	4
2065	25
2066	7
2067	0
2068	15
2069	3
1160	5
2044	18
2045	18
2046	7
2047	7
2048	4
2049	4
2050	16
1317	7
510	10
1089	22
2051	3
2052	7
2053	7
2054	11
2055	22
2056	7
120	7
122	7
125	7
578	22
658	4
1428	7
1451	22
2057	0
2058	15
2059	21
2060	6
2061	3
2062	14
146	7
390	7
423	7
2063	7
132	7
222	4
503	9
1535	16
2070	4
2071	7
2072	7
2073	7
2075	0
696	7
698	7
755	7
947	7
2077	7
175	7
1246	7
2076	20
133	10
778	24
864	22
2078	18
2079	22
2080	10
2081	21
2082	2
2083	18
130	23
131	23
134	11
135	23
136	9
137	3
138	4
139	20
140	5
1466	10
1831	14
2092	20
2093	23
2094	5
2095	23
2096	7
2097	0
629	7
253	9
1193	4
1531	21
2084	7
2085	11
2086	19
2087	22
2088	4
786	2
1150	23
1274	6
2099	10
2100	23
2101	23
2102	23
2103	23
470	9
2480	9
2984	18
3219	11
4463	24
4944	24
4945	9
1728	3
446	4
842	20
1096	4
1598	17
1752	3
2089	22
2090	4
2091	2
141	7
142	7
149	7
150	7
2098	7
265	7
667	7
285	3
3337	16
5048	8
5171	15
5338	7
5940	3
5941	4
5942	7
1245	7
238	7
151	0
153	0
154	0
155	7
156	10
157	19
158	10
159	4
160	7
161	0
411	1
813	4
1688	10
2104	10
2105	10
2106	25
2107	10
2108	14
